n,fronteraMax,tamClique,tiempo
3,2,1,26686
3,2,1,26402
3,2,1,27552
3,2,1,34445
3,2,1,24451
3,2,1,40057
3,2,1,28496
3,2,1,28877
3,2,1,22779
3,2,1,22612
3,2,1,40007
3,2,1,27659
3,2,1,22290
3,2,1,26772
3,2,1,27112
3,2,1,22099
3,2,1,23463
3,2,1,26663
3,2,1,22252
3,2,1,32675
4,4,2,56002
4,4,2,42888
4,4,2,41622
4,4,2,73333
4,4,2,51601
4,4,2,43370
4,4,2,43847
4,4,2,54931
4,4,2,45310
4,4,2,42898
4,4,2,48883
4,4,2,70931
4,4,2,41642
4,4,2,45746
4,4,2,45646
4,4,2,49162
4,4,2,40179
4,4,2,42773
4,4,2,43270
4,4,2,38484
5,6,2,83430
5,6,2,79786
5,6,2,103697
5,6,2,81179
5,6,2,113497
5,6,2,91543
5,6,2,83449
5,6,2,88574
5,6,2,81903
5,6,2,93247
5,6,2,84475
5,6,2,99803
5,6,2,82793
5,6,2,94145
5,6,2,84656
5,6,2,103561
5,6,2,92134
5,6,2,84416
5,6,2,92638
5,6,2,85926
6,9,3,195372
6,9,3,253718
6,9,3,219213
6,9,3,221906
6,9,3,202157
6,9,3,194146
6,9,3,329322
6,9,3,230307
6,9,3,263013
6,9,3,200774
6,9,3,211094
6,9,3,202568
6,9,3,255802
6,9,3,199796
6,9,3,192687
6,9,3,223991
6,9,3,240115
6,9,3,191728
6,9,3,203062
6,9,3,200646
7,12,3,488133
7,12,3,563890
7,12,3,493218
7,12,3,601929
7,12,3,500047
7,12,3,520482
7,12,3,626704
7,12,3,522918
7,12,3,565465
7,12,3,513471
7,12,3,521115
7,12,3,485395
7,12,3,511037
7,12,3,503044
7,12,3,537847
7,12,3,512913
7,12,3,514006
7,12,3,519714
7,12,3,515052
7,12,3,525370
8,16,4,1338512
8,16,4,1390574
8,16,4,1513358
8,16,4,1457814
8,16,4,1340598
8,16,4,1467569
8,16,4,1444251
8,16,4,1340631
8,16,4,1351683
8,16,4,1259131
8,16,4,1377137
8,16,4,1396552
8,16,4,1365390
8,16,4,1283439
8,16,4,1293931
8,16,4,1387753
8,16,4,1279244
8,16,4,1308483
8,16,4,1285573
8,16,4,1325478
9,20,4,3280084
9,20,4,3496517
9,20,4,3363877
9,20,4,3483335
9,20,4,3417635
9,20,4,3305699
9,20,4,3366313
9,20,4,3361106
9,20,4,3291765
9,20,4,3276166
9,20,4,3361159
9,20,4,3373847
9,20,4,3232895
9,20,4,3306681
9,20,4,3515795
9,20,4,3286456
9,20,4,3748200
9,20,4,3389677
9,20,4,3400354
9,20,4,3504173
10,25,5,8353822
10,25,5,8409924
10,25,5,9002232
10,25,5,8331290
10,25,5,8253380
10,25,5,8281570
10,25,5,8359482
10,25,5,8338808
10,25,5,8319939
10,25,5,8266500
10,25,5,8230385
10,25,5,8326024
10,25,5,8280643
10,25,5,8312585
10,25,5,8284153
10,25,5,8309419
10,25,5,8331864
10,25,5,8308059
10,25,5,8295650
10,25,5,8358402
11,30,5,21106245
11,30,5,21159822
11,30,5,20647779
11,30,5,20569115
11,30,5,21167382
11,30,5,20634825
11,30,5,20699206
11,30,5,20678269
11,30,5,20683046
11,30,5,21915987
11,30,5,20621344
11,30,5,20568557
11,30,5,21030855
11,30,5,20755817
11,30,5,20629731
11,30,5,20663401
11,30,5,20692708
11,30,5,20747759
11,30,5,20590614
11,30,5,20602364
12,36,6,51992208
12,36,6,50597169
12,36,6,50678645
12,36,6,50697900
12,36,6,50500069
12,36,6,50501776
12,36,6,50431064
12,36,6,51166710
12,36,6,50507871
12,36,6,50399290
12,36,6,50574617
12,36,6,50680877
12,36,6,50428757
12,36,6,52124195
12,36,6,50652238
12,36,6,50573014
12,36,6,50656919
12,36,6,50513928
12,36,6,51104950
12,36,6,50483629
13,42,6,124216259
13,42,6,122830819
13,42,6,123420508
13,42,6,122715162
13,42,6,123446898
13,42,6,125209624
13,42,6,123151359
13,42,6,123145614
13,42,6,123703153
13,42,6,123768659
13,42,6,123322377
13,42,6,123422909
13,42,6,124913078
13,42,6,123479993
13,42,6,122613224
13,42,6,122928186
13,42,6,123174118
13,42,6,123341195
13,42,6,123162102
13,42,6,123330315
14,49,7,302085994
14,49,7,296712374
14,49,7,297905265
14,49,7,299593358
14,49,7,296516533
14,49,7,296841319
14,49,7,298945106
14,49,7,296753633
14,49,7,296581647
14,49,7,295254957
14,49,7,298492650
14,49,7,295405186
14,49,7,295216373
14,49,7,299189251
14,49,7,296633463
14,49,7,296884810
14,49,7,297470408
14,49,7,295848672
14,49,7,296423266
14,49,7,295841775
15,56,7,710514280
15,56,7,708187116
15,56,7,709269412
15,56,7,707622533
15,56,7,709481895
15,56,7,708091979
15,56,7,707801620
15,56,7,710253167
15,56,7,747770800
15,56,7,709671873
15,56,7,708344036
15,56,7,709275985
15,56,7,707389198
15,56,7,707856961
15,56,7,725123155
15,56,7,706965094
15,56,7,709654403
15,56,7,706146138
15,56,7,709414848
15,56,7,706787144
16,64,8,1671362089
16,64,8,1687532423
16,64,8,1676520364
16,64,8,1669709718
16,64,8,1667407131
16,64,8,1675887162
16,64,8,1666679250
16,64,8,1666629276
16,64,8,1669244991
16,64,8,1669698187
16,64,8,1672727439
16,64,8,1669470600
16,64,8,1668260030
16,64,8,1683742414
16,64,8,1678309285
16,64,8,1667080065
16,64,8,1668442835
16,64,8,1665046154
16,64,8,1667685784
16,64,8,1675616647
17,72,8,4007084534
17,72,8,3987766474
17,72,8,3962010722
17,72,8,4035149542
17,72,8,3964948500
17,72,8,3994867409
17,72,8,3966644951
17,72,8,3965625960
17,72,8,3966311292
17,72,8,3948839323
17,72,8,3965477852
17,72,8,3967011730
17,72,8,3953493419
17,72,8,3963181484
17,72,8,4042779484
17,72,8,4050493922
17,72,8,3963922017
17,72,8,4094345400
17,72,8,3965706577
17,72,8,3967865847
18,81,9,8984421802
18,81,9,8984281975
18,81,9,8969425277
18,81,9,8985865743
18,81,9,9071936904
18,81,9,8970833526
18,81,9,9157888244
18,81,9,8985493530
18,81,9,9148262332
18,81,9,8968152859
18,81,9,8970875080
18,81,9,9063729030
18,81,9,8962229080
18,81,9,9035765243
18,81,9,9186251092
18,81,9,9050415429
18,81,9,9090963211
18,81,9,9005609049
18,81,9,9004072756
18,81,9,8990607400
19,90,9,20766708225
19,90,9,20757615371
19,90,9,20742638064
19,90,9,20723080284
19,90,9,20657855623
19,90,9,20817930051
19,90,9,20964111902
19,90,9,20767039767
19,90,9,20699057914
19,90,9,20983459532
19,90,9,20691691544
19,90,9,20795258072
19,90,9,20743696625
19,90,9,21265851155
19,90,9,21251043076
19,90,9,21209694840
19,90,9,20679540808
19,90,9,20866626349
19,90,9,20811375087
19,90,9,21364680525
20,100,10,47541876129
20,100,10,47217729725
20,100,10,49088372385
20,100,10,47318742676
20,100,10,47991911860
20,100,10,47902298440
20,100,10,47428346556
20,100,10,47915052821
20,100,10,47326613736
20,100,10,47274954828
20,100,10,47285387466
20,100,10,48458693631
20,100,10,47434037986
20,100,10,47172420722
20,100,10,47704510229
20,100,10,48185089729
20,100,10,47561430469
20,100,10,47521789756
20,100,10,47189970661
20,100,10,48182780915
21,110,10,115852842889
21,110,10,116200003942
21,110,10,115839961031
21,110,10,116778588825
21,110,10,116387352174
21,110,10,116315402839
21,110,10,115870351750
21,110,10,115017725607
21,110,10,116400116927
21,110,10,115070220778
21,110,10,115056801903
21,110,10,115192531404
21,110,10,114995420203
21,110,10,116060872738
21,110,10,116377058141
21,110,10,115085799252
21,110,10,115656673121
21,110,10,115841159352
21,110,10,115141308124
21,110,10,115144161538
22,121,11,263475825544
22,121,11,264308421081
22,121,11,261819484171
22,121,11,264435112566
22,121,11,262953048677
22,121,11,259844162344
22,121,11,265839587370
22,121,11,259881179029
22,121,11,263133330069
