n,fronteraMax,tamClique,tiempo
3,1,1,22599
3,1,1,21717
3,1,1,25697
3,1,1,26349
3,1,1,26711
3,1,1,28362
3,1,1,18311
3,1,1,22936
3,1,1,18568
3,1,1,25421
3,1,1,18663
3,1,1,23250
3,1,1,23740
3,1,1,17196
3,1,1,18580
3,1,1,29431
3,1,1,18042
3,1,1,27316
3,1,1,33155
3,1,1,32792
3,1,1,23291
3,1,1,17825
3,1,1,17199
3,1,1,23165
3,1,1,24299
3,1,1,21187
3,1,1,20840
3,1,1,19210
3,1,1,23339
3,1,1,20622
4,2,1,28396
4,2,1,24653
4,2,1,25400
4,2,1,26020
4,2,1,25303
4,2,1,28155
4,1,1,21853
4,2,1,27848
4,2,1,24449
4,2,1,28981
4,2,1,29032
4,2,1,24921
4,2,1,22969
4,2,1,23005
4,1,1,24973
4,2,1,24746
4,2,1,25739
4,2,1,27521
4,2,1,25412
4,1,1,27441
4,2,1,24558
4,2,1,26096
4,2,1,40894
4,2,1,23413
4,1,1,25035
4,2,1,21682
4,2,1,22312
4,2,1,22081
4,1,1,21678
4,2,1,26339
5,3,1,47722
5,2,1,56311
5,2,1,32099
5,2,1,32956
5,2,1,33979
5,2,1,30351
5,2,1,32070
5,3,1,35252
5,2,1,33982
5,2,1,41733
5,2,1,45133
5,2,1,34848
5,2,1,30984
5,2,1,29550
5,2,1,33231
5,3,1,29815
5,3,1,33377
5,3,1,31141
5,2,1,34376
5,2,1,37569
5,2,1,28133
5,2,1,35928
5,3,1,41218
5,2,1,29361
5,2,1,32312
5,2,1,34579
5,3,1,30425
5,2,1,28843
5,2,1,35673
5,2,1,29552
6,3,1,40792
6,2,1,48455
6,3,1,41231
6,3,1,43062
6,2,1,47294
6,3,1,44180
6,3,1,43863
6,2,1,45342
6,2,1,48820
6,2,1,42936
6,3,1,41399
6,3,1,49177
6,3,1,57573
6,3,1,60969
6,3,1,67406
6,2,1,47223
6,3,1,48497
6,2,1,42584
6,2,1,41330
6,3,1,44185
6,2,1,41294
6,2,1,39351
6,2,1,49568
6,2,1,43954
6,3,1,48718
6,2,1,39785
6,2,1,46444
6,3,1,45298
6,2,1,42344
6,3,1,63304
7,5,1,78410
7,3,1,113592
7,3,1,71045
7,3,1,76494
7,3,1,74722
7,4,2,80393
7,3,1,66997
7,4,2,65613
7,4,2,67827
7,4,2,63442
7,4,2,76808
7,3,1,77619
7,2,1,93442
7,4,1,67016
7,2,1,68783
7,4,2,63523
7,3,1,67081
7,4,1,69023
7,3,1,69960
7,4,2,72577
7,2,1,71027
7,5,2,68937
7,3,1,72501
7,3,1,63261
7,4,2,69435
7,4,1,72676
7,4,1,60541
7,4,2,71052
7,3,1,83133
7,4,1,73209
8,4,2,117145
8,3,1,96400
8,4,2,110252
8,4,2,114073
8,4,2,144832
8,5,2,136545
8,4,2,130874
8,4,2,116556
8,2,1,111045
8,3,1,138928
8,4,1,102162
8,5,2,121041
8,3,1,110341
8,5,2,107260
8,3,1,168357
8,4,1,117426
8,5,2,183398
8,3,1,119610
8,4,2,171602
8,5,2,107653
8,3,1,106804
8,4,2,122832
8,5,2,132004
8,4,2,111274
8,4,2,157359
8,3,1,140363
8,4,1,112060
8,5,2,101455
8,3,1,107509
8,3,1,154084
9,6,2,314502
9,6,2,257723
9,4,2,205725
9,4,2,198546
9,6,2,185858
9,6,2,198919
9,5,2,192628
9,5,1,187125
9,6,2,235388
9,5,2,182496
9,5,1,240497
9,6,2,222337
9,4,2,207434
9,5,2,282171
9,5,2,207046
9,3,1,207961
9,5,2,197124
9,4,2,193843
9,5,2,186311
9,5,2,205647
9,5,2,239693
9,5,2,211664
9,4,2,209283
9,4,2,240750
9,3,1,203071
9,5,2,231802
9,6,2,372896
9,6,2,232695
9,5,2,208771
9,5,2,206914
10,4,2,380218
10,6,2,383226
10,5,2,352059
10,6,2,453721
10,6,2,444044
10,5,2,459857
10,4,2,448573
10,5,2,385525
10,5,2,354914
10,6,2,443064
10,5,2,411243
10,8,2,514965
10,5,2,440374
10,6,2,445395
10,6,2,356700
10,6,1,368762
10,6,2,381907
10,7,2,385719
10,6,2,388831
10,7,2,366845
10,6,2,369050
10,5,2,415534
10,7,2,359758
10,6,2,348834
10,6,2,507922
10,7,2,360813
10,4,2,619186
10,6,2,445272
10,4,2,386233
10,6,2,435713
11,7,2,780490
11,9,2,750475
11,7,2,783309
11,5,2,722866
11,7,2,728600
11,7,2,911749
11,6,2,711085
11,6,2,794248
11,7,2,895116
11,6,2,754138
11,6,2,785033
11,6,2,766658
11,6,2,830638
11,7,2,774909
11,6,2,721977
11,7,2,663659
11,8,2,849851
11,7,2,864766
11,6,2,661599
11,7,2,698282
11,6,2,728864
11,8,2,887046
11,4,2,691836
11,7,2,697695
11,7,2,858301
11,5,2,833709
11,8,2,1047082
11,7,2,883971
11,7,2,903522
11,6,2,853199
12,11,2,1391779
12,8,2,1974438
12,7,2,1308649
12,6,2,1554072
12,8,2,1422617
12,9,2,1349738
12,8,2,1377301
12,6,2,2036043
12,6,2,1384914
12,8,2,1661451
12,7,2,1466320
12,5,2,1504937
12,8,2,1597893
12,8,2,1472621
12,8,2,1550844
12,5,2,1575233
12,6,2,1562371
12,9,2,1441175
12,8,2,1641909
12,8,2,1439206
12,8,2,1370942
12,8,2,1281768
12,6,2,1588646
12,9,2,1797439
12,7,2,1378320
12,7,2,1451183
12,9,2,1277180
12,10,2,1343586
12,8,2,1336552
12,7,2,1479176
13,8,2,3501287
13,8,2,2874531
13,7,2,2999555
13,8,2,3322252
13,8,2,3206502
13,9,2,2980481
13,9,3,2993072
13,8,2,3140159
13,9,2,2740564
13,8,2,2673622
13,10,2,2944262
13,9,3,2712231
13,8,2,3116601
13,8,2,2785654
13,8,2,2848946
13,7,2,3304382
13,7,2,3001418
13,9,3,2656431
13,8,2,2643842
13,7,2,2974496
13,10,2,2888648
13,6,2,2859414
13,9,2,3031442
13,8,2,2612674
13,8,2,3969753
13,12,2,2579481
13,9,2,2854554
13,7,2,2469358
13,8,2,2661796
13,6,2,2820670
14,13,3,4864976
14,9,2,6747524
14,9,2,5859083
14,11,3,7444679
14,8,2,6073695
14,11,2,5919838
14,9,2,4969542
14,8,2,7073834
14,8,2,7248528
14,9,3,5740181
14,8,2,6181905
14,8,2,5156874
14,9,2,5762877
14,12,3,5446653
14,9,2,5661303
14,9,2,5186123
14,12,3,5158766
14,10,2,5060802
14,12,2,6677411
14,9,2,5834202
14,7,2,6553897
14,10,2,5923713
14,10,2,6076330
14,11,2,5162535
14,11,2,5315336
14,9,2,5191361
14,10,3,5445638
14,8,2,5681510
14,11,2,6024866
14,9,2,5852985
