n,fronteraMax,tamClique,tiempo
15,6,2,198298
15,7,2,246767
15,7,2,209853
15,7,2,202625
15,7,2,381132
15,7,2,312310
15,7,2,295548
15,7,2,195233
15,7,2,249493
15,7,2,225643
15,7,2,209491
15,7,2,293512
15,7,2,252229
15,7,2,261574
15,6,2,190410
15,6,2,188879
15,7,2,226719
15,7,2,247779
15,7,2,315680
15,6,2,299458
15,7,2,228997
15,7,2,214151
15,7,2,183212
15,7,2,212438
15,6,2,330697
15,7,2,344549
15,7,2,272529
15,7,2,290643
15,7,2,229746
15,7,2,215569
18,9,2,205428
18,9,2,376084
18,9,2,315746
18,9,2,291432
18,9,2,363371
18,9,2,298820
18,9,2,267265
18,9,2,252727
18,9,2,289994
18,9,2,381488
18,9,2,217877
18,9,2,235124
18,9,2,312373
18,9,2,399600
18,9,2,238802
18,9,2,282919
18,9,2,230588
18,9,2,225991
18,9,2,358075
18,9,2,371678
18,9,2,307231
18,9,2,246546
18,9,2,227240
18,9,2,290608
18,9,2,469423
18,9,2,278498
18,9,2,301102
18,9,2,226479
18,9,2,300296
18,9,2,228886
21,11,2,252201
21,11,2,255914
21,11,2,238285
21,8,2,249166
21,11,2,255894
21,11,2,348573
21,11,2,255131
21,11,2,250873
21,11,2,404794
21,11,2,332156
21,11,2,265271
21,11,2,254233
21,11,2,390505
21,8,2,333812
21,11,2,255501
21,11,2,401079
21,11,2,266808
21,11,2,275787
21,11,2,268540
21,11,2,250036
21,11,2,343152
21,11,2,339444
21,11,2,243436
21,11,2,337712
21,11,2,402077
21,11,2,256225
21,11,2,253082
21,11,2,262833
21,11,2,251905
21,11,2,345631
24,13,2,363938
24,13,2,414987
24,13,2,350090
24,13,2,300325
24,13,2,674360
24,13,2,275487
24,13,2,302172
24,13,2,363554
24,13,2,353740
24,13,2,282812
24,13,2,451811
24,13,2,297994
24,13,2,329137
24,13,2,395574
24,13,2,412635
24,13,2,279035
24,13,2,442569
24,13,2,428627
24,13,2,598119
24,13,2,525801
24,13,2,281630
24,13,2,281613
24,13,2,413048
24,13,2,257953
24,13,2,539030
24,13,2,312253
24,13,2,444655
24,13,2,365606
24,9,2,270533
24,13,2,384027
27,15,2,304731
27,15,2,357595
27,15,2,472386
27,15,2,325652
27,15,2,676883
27,15,2,322114
27,15,2,367114
27,15,2,428737
27,15,2,313618
27,15,2,303801
27,15,2,340452
27,15,2,447485
27,15,2,469433
27,15,2,487878
27,15,2,500692
27,15,2,460219
27,15,2,420770
27,15,2,426632
27,15,2,433226
27,15,2,332100
27,15,2,436201
27,10,2,305904
27,10,2,353364
27,15,2,396688
27,15,2,308387
27,15,2,322847
27,15,2,305764
27,15,2,314248
27,15,2,443571
27,15,2,317944
30,17,2,423910
30,17,2,404776
30,17,2,327912
30,17,2,351381
30,17,2,472273
30,17,2,347963
30,17,2,356956
30,17,2,447394
30,17,2,343414
30,17,2,336882
30,17,2,420802
30,17,2,385726
30,17,2,367659
30,17,2,502911
30,17,2,340241
30,17,2,330758
30,17,2,344930
30,17,2,333560
30,17,2,333948
30,17,2,348754
30,17,2,437440
30,17,2,447668
30,17,2,353528
30,17,2,476614
30,17,2,332007
30,17,2,402519
30,17,2,331546
30,17,2,382168
30,17,2,329753
30,17,2,353505
33,19,2,515666
33,19,2,478188
33,19,2,463908
33,19,2,362130
33,19,2,384004
33,19,2,379524
33,19,2,363559
33,19,2,466563
33,19,2,482357
33,19,2,560526
33,19,2,382807
33,19,2,368976
33,19,2,371192
33,19,2,696717
33,19,2,383651
33,19,2,367103
33,19,2,360927
33,19,2,458475
33,19,2,431472
33,19,2,476612
33,19,2,686943
33,19,2,543093
33,19,2,366457
33,19,2,448852
33,19,2,451844
33,19,2,526815
33,19,2,360108
33,19,2,357490
33,19,2,466644
33,19,2,498281
36,21,2,463571
36,21,2,445715
36,21,2,630281
36,21,2,429571
36,21,2,422463
36,21,2,663126
36,21,2,401891
36,21,2,426533
36,21,2,621108
36,21,2,425345
36,21,2,398097
36,21,2,538333
36,21,2,493802
36,13,2,473367
36,21,2,598542
36,21,2,525316
36,21,2,397769
36,21,2,402879
36,21,2,407860
36,21,2,454276
36,21,2,629608
36,21,2,419164
36,21,2,386243
36,21,2,603523
36,21,2,403954
36,21,2,521225
36,21,2,643225
36,21,2,417860
36,21,2,402428
36,21,2,665902
39,14,2,399421
39,23,2,411813
39,23,2,486223
39,23,2,428771
39,23,2,441382
39,23,2,514133
39,23,2,560622
39,23,2,471024
39,23,2,551876
39,14,2,404300
39,23,2,483446
39,23,2,517007
39,23,2,432865
39,23,2,551431
39,23,2,760988
39,23,2,441449
39,23,2,627789
39,23,2,439729
39,23,2,441983
39,23,2,433817
39,14,2,401159
39,23,2,424167
39,14,2,465378
39,23,2,698671
39,23,2,652120
39,23,2,457876
39,23,2,679065
39,23,2,559505
39,23,2,416642
39,23,2,592736
42,25,2,538923
42,25,2,453034
42,25,2,464591
42,25,2,477684
42,25,2,581713
42,25,2,600837
42,25,2,462636
42,25,2,557701
42,25,2,489573
42,25,2,703120
42,25,2,940458
42,25,2,462221
42,25,2,613558
42,25,2,761144
42,15,2,496680
42,25,2,454948
42,25,2,678523
42,25,2,698312
42,25,2,641681
42,25,2,605816
42,25,2,533958
42,15,2,498863
42,25,2,462470
42,25,2,745700
42,25,2,451213
42,15,2,465272
