n,fronteraMax,tamClique,tiempo
3,2,2,18368
3,2,2,18992
3,2,2,21383
3,2,2,21164
3,2,2,27704
3,2,2,33251
3,2,2,35592
3,2,2,40034
3,2,2,20709
3,2,2,19470
3,2,2,20410
3,2,2,18655
3,2,2,21093
3,2,2,19020
3,2,2,77195
3,2,2,21647
3,2,2,17671
3,2,2,18519
3,2,2,20682
3,2,2,25185
4,4,2,21947
4,4,2,24901
4,4,2,34458
4,4,2,23214
4,4,2,28776
4,4,2,22353
4,4,2,23909
4,4,2,27453
4,4,2,22790
4,4,2,25079
4,4,2,24798
4,4,2,26498
4,4,2,29050
4,4,2,22595
4,4,2,22492
4,4,2,185538
4,4,2,24926
4,4,2,22184
4,4,2,22758
4,4,2,21368
5,6,3,29604
5,6,3,30757
5,6,3,30993
5,6,3,41536
5,6,3,31320
5,6,3,29573
5,6,3,29499
5,6,3,47805
5,6,3,40940
5,6,3,31817
5,6,3,29674
5,6,3,33897
5,6,3,33554
5,6,3,48699
5,6,3,30485
5,6,3,38163
5,6,3,50811
5,6,3,35190
5,6,3,39777
5,6,3,29760
6,9,3,37645
6,9,3,40050
6,9,3,36482
6,9,3,37115
6,9,3,40432
6,9,3,41731
6,9,3,40298
6,9,3,51314
6,9,3,41399
6,9,3,59216
6,9,3,41322
6,9,3,43665
6,9,3,40276
6,9,3,35654
6,9,3,38990
6,9,3,37065
6,9,3,37881
6,9,3,40358
6,9,3,37411
6,9,3,36285
7,12,4,54267
7,12,4,52909
7,12,4,51771
7,12,4,51050
7,12,4,51673
7,12,4,55313
7,12,4,63024
7,12,4,54443
7,12,4,57228
7,12,4,55218
7,12,4,63278
7,12,4,71620
7,12,4,71533
7,12,4,75763
7,12,4,52313
7,12,4,50829
7,12,4,56996
7,12,4,55375
7,12,4,55112
7,12,4,51640
8,16,4,64305
8,16,4,65579
8,16,4,73041
8,16,4,63575
8,16,4,71040
8,16,4,73342
8,16,4,70788
8,16,4,62347
8,16,4,61434
8,16,4,72934
8,16,4,65265
8,16,4,66550
8,16,4,62961
8,16,4,63589
8,16,4,76149
8,16,4,67498
8,16,4,64158
8,16,4,62944
8,16,4,69167
8,16,4,65689
9,20,5,97626
9,20,5,123523
9,20,5,116364
9,20,5,103248
9,20,5,97133
9,20,5,96369
9,20,5,93909
9,20,5,90292
9,20,5,118543
9,20,5,134853
9,20,5,98999
9,20,5,99327
9,20,5,92574
9,20,5,108468
9,20,5,230222
9,20,5,93759
9,20,5,95546
9,20,5,88699
9,20,5,89834
9,20,5,89674
10,25,5,124866
10,25,5,114827
10,25,5,139115
10,25,5,111965
10,25,5,113880
10,25,5,107616
10,25,5,110227
10,25,5,108274
10,25,5,109317
10,25,5,117345
10,25,5,116873
10,25,5,113485
10,25,5,122889
10,25,5,113143
10,25,5,112722
10,25,5,124013
10,25,5,109059
10,25,5,123793
10,25,5,117393
10,25,5,109875
11,30,6,181162
11,30,6,167537
11,30,6,186250
11,30,6,189154
11,30,6,154422
11,30,6,162205
11,30,6,162889
11,30,6,171535
11,30,6,156341
11,30,6,178950
11,30,6,166041
11,30,6,158181
11,30,6,157713
11,30,6,161650
11,30,6,152594
11,30,6,170735
11,30,6,220867
11,30,6,183913
11,30,6,174882
11,30,6,170779
12,36,6,180831
12,36,6,191991
12,36,6,194234
12,36,6,181301
12,36,6,211538
12,36,6,196771
12,36,6,192381
12,36,6,201642
12,36,6,193148
12,36,6,275009
12,36,6,189916
12,36,6,193125
12,36,6,209753
12,36,6,188806
12,36,6,189665
12,36,6,189193
12,36,6,188688
12,36,6,220720
12,36,6,188472
12,36,6,186983
13,42,7,274390
13,42,7,260040
13,42,7,274676
13,42,7,251695
13,42,7,346792
13,42,7,280586
13,42,7,259212
13,42,7,339263
13,42,7,273011
13,42,7,262691
13,42,7,249157
13,42,7,251974
13,42,7,260932
13,42,7,262690
13,42,7,268339
13,42,7,263830
13,42,7,250271
13,42,7,264202
13,42,7,266688
13,42,7,276724
14,49,7,305100
14,49,7,300773
14,49,7,310844
14,49,7,297442
14,49,7,289307
14,49,7,300388
14,49,7,359086
14,49,7,342608
14,49,7,374381
14,49,7,319583
14,49,7,296472
14,49,7,318254
14,49,7,287860
14,49,7,450616
14,49,7,288871
14,49,7,312403
14,49,7,342697
14,49,7,308865
14,49,7,411146
14,49,7,329292
15,56,8,484391
15,56,8,411965
15,56,8,396489
15,56,8,411872
15,56,8,405384
15,56,8,391332
15,56,8,398979
15,56,8,407626
15,56,8,409592
15,56,8,430726
15,56,8,423784
15,56,8,405304
15,56,8,474021
15,56,8,466539
15,56,8,404042
15,56,8,389123
