n,fronteraMax,tamClique,tiempo
15,6,2,36042
15,6,2,44940
15,6,2,45470
15,6,2,46538
15,6,2,45294
15,6,2,44592
15,6,2,46453
15,6,2,71628
15,6,2,70273
15,6,2,70308
15,6,2,70676
15,6,2,77671
15,6,2,91237
15,6,2,87787
15,6,2,89968
15,6,2,88701
15,6,2,89060
15,6,2,72458
15,6,2,71197
15,6,2,69040
18,7,2,81919
18,7,2,81973
18,7,2,87387
18,7,2,90301
18,7,2,58236
18,7,2,55216
18,7,2,56863
18,7,2,57453
18,7,2,57983
18,7,2,60190
18,7,2,57596
18,7,2,57698
18,7,2,56372
18,7,2,75188
18,7,2,57276
18,7,2,56136
18,7,2,57645
18,7,2,57038
18,7,2,56348
18,7,2,57184
21,8,2,62571
21,8,2,62284
21,8,2,64108
21,8,2,61647
21,8,2,68702
21,8,2,63469
21,8,2,63888
21,8,2,62195
21,8,2,63768
21,8,2,64344
21,8,2,64118
21,8,2,62468
21,8,2,61861
21,8,2,64354
21,8,2,63249
21,8,2,62665
21,8,2,62616
21,8,2,63179
21,8,2,62974
21,8,2,61880
24,9,2,64302
24,9,2,64865
24,9,2,64132
24,9,2,92609
24,9,2,93492
24,9,2,128718
24,9,2,97512
24,9,2,111411
24,9,2,99997
24,9,2,101009
24,9,2,97780
24,9,2,98473
24,9,2,98949
24,9,2,127286
24,9,2,132017
24,9,2,130778
24,9,2,126232
24,9,2,132013
24,9,2,74396
24,9,2,76207
27,10,2,80154
27,10,2,81914
27,10,2,99776
27,10,2,123576
27,10,2,98519
27,10,2,98022
27,10,2,98608
27,10,2,98500
27,10,2,101645
27,10,2,91420
27,10,2,91296
27,10,2,92130
27,10,2,92191
27,10,2,93394
27,10,2,91807
27,10,2,93244
27,10,2,91622
27,10,2,81885
27,10,2,81025
27,10,2,79811
30,11,2,88332
30,11,2,89594
30,11,2,86068
30,11,2,88028
30,11,2,87756
30,11,2,89286
30,11,2,90322
30,11,2,89907
30,11,2,89276
30,11,2,86351
30,11,2,86954
30,11,2,85983
30,11,2,86359
30,11,2,89437
30,11,2,86678
30,11,2,180582
30,11,2,145689
30,11,2,143684
30,11,2,89954
30,11,2,87621
33,12,2,95319
33,12,2,93886
33,12,2,113817
33,12,2,152284
33,12,2,116343
33,12,2,116745
33,12,2,176042
33,12,2,94024
33,12,2,96964
33,12,2,95879
33,12,2,95188
33,12,2,94783
33,12,2,93725
33,12,2,93057
33,12,2,95487
33,12,2,162311
33,12,2,170016
33,12,2,113986
33,12,2,113787
33,12,2,116168
36,13,2,124600
36,13,2,122774
36,13,2,119777
36,13,2,117144
36,13,2,97551
36,13,2,97224
36,13,2,98212
36,13,2,100855
36,13,2,99518
36,13,2,100837
36,13,2,96955
36,13,2,98609
36,13,2,98104
36,13,2,97342
36,13,2,97870
36,13,2,96236
36,13,2,98490
36,13,2,98059
36,13,2,98036
36,13,2,96698
39,14,2,104689
39,14,2,104743
39,14,2,104066
39,14,2,117433
39,14,2,105394
39,14,2,104250
39,14,2,104998
39,14,2,105548
39,14,2,102822
39,14,2,108172
39,14,2,107070
39,14,2,118954
39,14,2,118441
39,14,2,120291
39,14,2,121074
39,14,2,121313
39,14,2,120443
39,14,2,118346
39,14,2,118254
39,14,2,122534
42,15,2,125832
42,15,2,127436
42,15,2,124591
42,15,2,160101
42,15,2,127695
42,15,2,126792
42,15,2,128147
42,15,2,127222
42,15,2,146870
42,15,2,126233
42,15,2,146936
42,15,2,143624
42,15,2,145727
42,15,2,149258
42,15,2,145558
42,15,2,147177
42,15,2,145429
42,15,2,118259
42,15,2,110839
42,15,2,110047
45,16,2,115977
45,16,2,150166
45,16,2,196402
45,16,2,198928
45,16,2,197769
45,16,2,224300
45,16,2,133148
45,16,2,131985
45,16,2,130084
45,16,2,134727
45,16,2,143680
45,16,2,141199
45,16,2,139828
45,16,2,144007
45,16,2,142329
45,16,2,142895
45,16,2,142819
45,16,2,117921
45,16,2,117745
45,16,2,115563
48,17,2,122177
48,17,2,124933
48,17,2,122671
48,17,2,144643
48,17,2,140067
48,17,2,161029
48,17,2,115471
48,17,2,116792
48,17,2,116511
48,17,2,171199
48,17,2,117778
48,17,2,160885
48,17,2,197129
48,17,2,159927
48,17,2,159165
48,17,2,210796
48,17,2,247831
48,17,2,195925
48,17,2,146979
48,17,2,138344
51,18,2,223669
51,18,2,205213
51,18,2,221460
51,18,2,208475
51,18,2,206116
51,18,2,199110
51,18,2,203693
51,18,2,176550
51,18,2,169095
51,18,2,169144
51,18,2,169138
51,18,2,170665
51,18,2,203427
51,18,2,201328
51,18,2,202293
51,18,2,199418
51,18,2,200048
51,18,2,201323
51,18,2,245135
51,18,2,158825
54,19,2,169267
54,19,2,162635
54,19,2,163357
54,19,2,164874
54,19,2,170171
54,19,2,178409
54,19,2,176540
54,19,2,176888
54,19,2,147632
54,19,2,140115
54,19,2,140456
54,19,2,136241
54,19,2,137843
54,19,2,135002
54,19,2,164770
54,19,2,165897
54,19,2,134475
54,19,2,135281
54,19,2,133934
54,19,2,167238
57,20,2,172681
57,20,2,172428
57,20,2,175721
57,20,2,172839
57,20,2,171339
57,20,2,184287
57,20,2,163561
57,20,2,160849
57,20,2,161324
57,20,2,159755
57,20,2,159921
57,20,2,161000
57,20,2,164689
57,20,2,161883
57,20,2,183514
57,20,2,169573
57,20,2,159398
57,20,2,159942
57,20,2,160974
57,20,2,161260
60,21,2,167404
60,21,2,170172
60,21,2,166766
60,21,2,172040
60,21,2,167558
60,21,2,170813
60,21,2,165866
60,21,2,259463
60,21,2,168830
60,21,2,171834
60,21,2,167515
60,21,2,166293
60,21,2,169567
60,21,2,169921
60,21,2,165345
60,21,2,176119
60,21,2,182487
60,21,2,179144
60,21,2,180823
60,21,2,253951
63,22,2,174900
63,22,2,176452
63,22,2,203895
63,22,2,203057
63,22,2,208053
63,22,2,190095
63,22,2,187967
63,22,2,190130
63,22,2,184835
63,22,2,191043
63,22,2,190761
63,22,2,187463
63,22,2,173034
63,22,2,173265
63,22,2,175360
63,22,2,188031
63,22,2,217259
63,22,2,187703
63,22,2,189789
63,22,2,188227
66,23,2,198860
66,23,2,206257
66,23,2,187289
66,23,2,191202
66,23,2,185546
66,23,2,189068
66,23,2,188163
66,23,2,191732
66,23,2,189823
66,23,2,189687
66,23,2,186907
66,23,2,189703
66,23,2,188478
66,23,2,200206
66,23,2,200626
66,23,2,226513
66,23,2,166737
66,23,2,165910
66,23,2,165202
66,23,2,164834
69,24,2,172126
69,24,2,191813
69,24,2,191840
69,24,2,194604
69,24,2,191979
69,24,2,193081
69,24,2,204969
69,24,2,217676
69,24,2,176856
69,24,2,169899
69,24,2,170084
69,24,2,173068
69,24,2,170516
69,24,2,192445
69,24,2,193140
69,24,2,203456
69,24,2,190056
69,24,2,195398
69,24,2,194607
69,24,2,169614
72,25,2,191979
72,25,2,176334
72,25,2,181376
72,25,2,235700
72,25,2,200842
72,25,2,208383
72,25,2,210823
72,25,2,206164
72,25,2,204325
72,25,2,203480
72,25,2,202536
72,25,2,245072
72,25,2,189816
72,25,2,178713
72,25,2,214590
72,25,2,221482
72,25,2,217748
72,25,2,217296
72,25,2,221281
72,25,2,215924
75,26,2,220093
75,26,2,207372
75,26,2,207127
75,26,2,207180
75,26,2,183388
75,26,2,184023
75,26,2,182299
75,26,2,186172
75,26,2,247716
75,26,2,205399
75,26,2,208672
75,26,2,205644
75,26,2,312614
75,26,2,306046
75,26,2,308296
75,26,2,202786
75,26,2,188027
75,26,2,181675
75,26,2,240774
75,26,2,240725
78,27,2,249597
78,27,2,250773
78,27,2,220370
78,27,2,221722
78,27,2,250898
78,27,2,190395
78,27,2,193574
78,27,2,223933
78,27,2,204267
78,27,2,254726
78,27,2,189501
78,27,2,190113
78,27,2,191227
78,27,2,224784
78,27,2,188870
78,27,2,189811
78,27,2,188805
78,27,2,217867
78,27,2,190914
78,27,2,192128
81,28,2,197779
81,28,2,197542
81,28,2,198024
81,28,2,199587
81,28,2,238104
81,28,2,240551
81,28,2,236536
81,28,2,345061
81,28,2,381690
81,28,2,335527
81,28,2,225507
81,28,2,222068
81,28,2,226224
81,28,2,223564
81,28,2,225278
81,28,2,224173
81,28,2,222528
81,28,2,223580
81,28,2,221522
81,28,2,224288
84,29,2,231703
84,29,2,228959
84,29,2,230666
84,29,2,241711
84,29,2,246148
84,29,2,248416
84,29,2,246810
84,29,2,241884
84,29,2,239753
84,29,2,235745
84,29,2,265085
84,29,2,204241
84,29,2,202995
84,29,2,202762
84,29,2,205403
84,29,2,233130
84,29,2,235280
84,29,2,231195
84,29,2,380569
84,29,2,229513
87,30,2,240310
87,30,2,239676
87,30,2,256533
87,30,2,259597
87,30,2,210486
87,30,2,213060
87,30,2,211520
87,30,2,214611
87,30,2,276190
87,30,2,241731
87,30,2,238845
87,30,2,244551
87,30,2,239626
87,30,2,212272
87,30,2,209932
87,30,2,210008
87,30,2,258171
87,30,2,239215
87,30,2,241553
87,30,2,238003
90,31,2,264434
90,31,2,268515
90,31,2,273399
90,31,2,271672
90,31,2,248528
90,31,2,249478
90,31,2,248079
90,31,2,314557
90,31,2,288679
90,31,2,268438
90,31,2,278185
90,31,2,270128
90,31,2,273752
90,31,2,265653
90,31,2,265852
90,31,2,267391
90,31,2,263807
90,31,2,263574
90,31,2,286313
90,31,2,286551
93,32,2,294070
93,32,2,384183
93,32,2,278721
93,32,2,274574
93,32,2,271349
93,32,2,349182
93,32,2,362150
93,32,2,221566
93,32,2,216380
93,32,2,226111
93,32,2,211741
93,32,2,259413
93,32,2,285304
93,32,2,256643
93,32,2,224609
93,32,2,226239
93,32,2,226017
93,32,2,227667
93,32,2,256905
93,32,2,279872
96,33,2,265576
96,33,2,265953
96,33,2,297562
96,33,2,234395
96,33,2,235630
96,33,2,234379
96,33,2,304938
96,33,2,401857
96,33,2,311952
96,33,2,268557
96,33,2,266713
96,33,2,231746
96,33,2,234081
96,33,2,235455
96,33,2,234273
96,33,2,269302
96,33,2,440222
96,33,2,440917
96,33,2,399623
96,33,2,270114
99,34,2,281396
99,34,2,291120
99,34,2,279037
99,34,2,275020
99,34,2,287621
99,34,2,279210
99,34,2,316114
99,34,2,277658
99,34,2,277039
99,34,2,427788
99,34,2,299454
99,34,2,297645
99,34,2,292929
99,34,2,292912
99,34,2,275281
99,34,2,275577
99,34,2,274212
