n,fronteraMax,tamClique,tiempo
3,2,1,30153
3,2,1,23620
3,2,1,23580
3,2,1,16909
3,2,1,19897
3,2,1,22083
3,2,1,21014
3,2,1,22908
3,2,1,17568
3,2,1,19702
3,2,1,17566
3,2,1,16899
3,2,1,31649
3,2,1,17815
3,2,1,19571
3,2,1,17531
3,2,1,17137
3,2,1,19347
3,2,1,21094
3,2,1,18664
4,2,2,20098
4,2,2,20258
4,3,1,36397
4,2,2,18945
4,2,2,19865
4,2,2,18696
4,2,2,19172
4,2,2,21822
4,3,1,23810
4,2,2,18354
4,2,2,30998
4,2,2,21759
4,3,1,19994
4,2,2,17753
4,2,2,20814
4,3,1,20028
4,2,2,29925
4,2,2,18127
4,2,2,18255
4,2,2,22031
5,3,2,20680
5,3,2,21161
5,4,2,22663
5,4,2,22833
5,4,2,23594
5,3,2,24167
5,3,2,20321
5,2,2,26232
5,4,2,23133
5,3,2,21286
5,4,2,24219
5,4,2,22767
5,4,2,24811
5,4,2,22618
5,3,2,24986
5,3,2,22131
5,2,2,19576
5,4,2,24468
5,4,2,25177
5,4,2,24128
6,6,2,29848
6,6,2,25158
6,5,2,24247
6,6,2,25863
6,5,2,23990
6,4,2,26684
6,6,2,29838
6,5,2,30352
6,6,2,41494
6,4,2,28663
6,6,2,26695
6,6,2,45802
6,4,2,28949
6,6,2,42300
6,6,2,33993
6,5,2,35340
6,5,2,31798
6,6,2,35054
6,6,2,40861
6,5,2,29258
7,7,3,37652
7,8,2,38417
7,6,3,33144
7,7,2,43725
7,6,3,26744
7,6,2,40262
7,6,3,33855
7,7,2,31738
7,7,2,28258
7,8,2,32868
7,6,2,27807
7,6,2,27554
7,7,3,29420
7,6,3,26202
7,6,2,27535
7,8,2,31629
7,7,3,30046
7,8,2,32117
7,6,3,28424
7,7,2,29241
8,9,2,32765
8,9,3,36217
8,7,3,44424
8,8,3,32178
8,8,3,31420
8,8,3,32277
8,8,3,33460
8,8,2,37575
8,8,3,41331
8,7,2,39638
8,9,3,54617
8,8,3,46598
8,7,3,40336
8,7,3,44228
8,7,3,45608
8,8,3,34574
8,8,3,30028
8,8,3,29898
8,9,3,38783
8,9,3,37747
9,8,3,31481
9,11,3,55378
9,13,3,50821
9,9,3,34007
9,9,3,42309
9,11,3,41678
9,11,3,35150
9,10,3,38504
9,10,3,40034
9,10,3,35957
9,11,3,42653
9,10,3,37579
9,8,3,33565
9,8,3,30408
9,10,3,34000
9,9,3,31081
9,10,3,33582
9,11,3,39882
9,10,3,34548
9,10,3,34946
10,12,3,39452
10,12,3,39079
10,14,3,47285
10,11,3,36537
10,14,3,44591
10,12,3,44550
10,13,3,45234
10,12,4,43139
10,13,4,46619
10,11,3,38799
10,10,3,36367
10,12,3,40727
10,13,3,36225
10,12,3,38795
10,10,3,36967
