n,fronteraMax,tamClique,tiempo
15,7,2,52807
15,7,2,54008
15,7,2,53618
15,6,2,57565
15,7,2,54730
15,7,2,54007
15,6,2,52600
15,6,2,53164
15,7,2,121128
15,7,2,116870
15,6,2,80349
15,7,2,115849
15,6,2,79415
15,6,2,113382
15,6,2,139722
15,7,2,137641
15,6,2,137955
15,6,2,101519
15,7,2,74146
15,7,2,103567
18,9,2,110984
18,7,2,108640
18,9,2,112481
18,9,2,125345
18,9,2,114333
18,7,2,74189
18,9,2,147268
18,9,2,114502
18,9,2,111978
18,9,2,168605
18,7,2,154089
18,7,2,159999
18,9,2,131380
18,7,2,133817
18,9,2,128491
18,9,2,120882
18,9,2,118780
18,7,2,116451
18,7,2,162626
18,9,2,111001
21,8,2,118142
21,8,2,122950
21,8,2,118468
21,8,2,140149
21,11,2,145459
21,11,2,142353
21,11,2,131065
21,11,2,142113
21,11,2,138295
21,11,2,106711
21,11,2,98922
21,8,2,63671
21,8,2,96231
21,11,2,99017
21,11,2,128096
21,11,2,127442
21,8,2,79308
21,8,2,119816
21,8,2,121160
21,11,2,122670
24,9,2,130469
24,13,2,135334
24,9,2,85702
24,13,2,141300
24,9,2,126698
24,9,2,133397
24,9,2,129176
24,13,2,93408
24,9,2,129769
24,9,2,129946
24,9,2,145693
24,9,2,149329
24,13,2,153503
24,13,2,121635
24,9,2,113753
24,13,2,119714
24,13,2,118603
24,9,2,114654
24,13,2,138194
24,13,2,132978
27,15,2,146135
27,15,2,145579
27,10,2,137443
27,15,2,149209
27,10,2,87436
27,10,2,143166
27,15,2,144601
27,15,2,149379
27,15,2,138638
27,15,2,199260
27,10,2,158422
27,15,2,170733
27,15,2,131377
27,15,2,127790
27,10,2,122566
27,15,2,129881
27,15,2,130065
27,15,2,135116
27,15,2,132637
27,10,2,120905
30,11,2,126579
30,17,2,182597
30,17,2,183366
30,17,2,183861
30,17,2,242517
30,17,2,146502
30,17,2,138904
30,17,2,141540
30,17,2,147837
30,11,2,133166
30,17,2,143151
30,17,2,93714
30,17,2,204414
30,17,2,141248
30,11,2,129461
30,17,2,142239
30,17,2,140338
30,17,2,141222
30,17,2,141008
30,11,2,81139
33,19,2,232474
33,19,2,230018
33,19,2,247568
33,19,2,153553
33,19,2,150757
33,19,2,172590
33,19,2,149786
33,19,2,180987
33,12,2,172363
33,12,2,163746
33,19,2,151076
33,19,2,150075
33,12,2,87067
33,19,2,154824
33,19,2,149545
33,19,2,174339
33,19,2,178086
33,19,2,170305
33,12,2,154204
33,12,2,153114
36,13,2,168289
36,21,2,186580
36,21,2,255915
36,13,2,229513
36,21,2,262523
36,21,2,284762
36,13,2,277256
36,13,2,172455
36,21,2,213709
36,21,2,187753
36,13,2,166796
36,21,2,182753
36,13,2,168427
36,13,2,170637
36,21,2,182229
36,21,2,165214
36,13,2,151710
36,21,2,199086
36,21,2,165277
36,21,2,124589
39,14,2,190713
39,23,2,196887
39,14,2,247061
39,23,2,273883
39,14,2,240542
39,14,2,180880
39,14,2,112335
39,14,2,177565
39,23,2,245180
39,14,2,156646
39,14,2,158061
39,23,2,174546
39,23,2,170564
39,23,2,210243
39,14,2,190079
39,23,2,212994
39,23,2,237795
39,14,2,197484
39,23,2,149521
39,23,2,387236
42,25,2,229655
42,25,2,337788
42,15,2,162674
42,25,2,191299
42,15,2,172746
42,15,2,189248
42,25,2,209436
42,25,2,213407
42,25,2,215516
42,25,2,243544
42,25,2,244759
42,25,2,249503
42,15,2,165511
42,25,2,182061
42,25,2,184327
42,25,2,120511
42,25,2,208390
42,15,2,194358
42,25,2,212574
42,25,2,209717
45,27,2,194428
45,27,2,194324
45,27,2,379939
45,27,2,254644
45,16,2,224059
45,27,2,268830
45,16,2,226076
45,27,2,224588
45,27,2,218630
45,27,2,223061
45,27,2,224971
45,27,2,193840
45,16,2,176420
45,16,2,176385
45,27,2,199049
45,27,2,265115
45,16,2,196916
45,16,2,120388
45,27,2,377761
45,27,2,265006
48,17,2,242517
48,29,2,394948
48,29,2,273927
48,29,2,397362
48,29,2,228780
48,29,2,334673
48,29,2,355842
48,17,2,311988
48,17,2,135283
48,29,2,259035
48,29,2,250018
48,17,2,186486
48,29,2,207745
48,29,2,208363
48,29,2,216723
48,29,2,250590
48,29,2,255811
48,29,2,255704
48,29,2,260090
48,29,2,274060
51,18,2,256855
51,31,2,401222
51,18,2,296798
51,31,2,341141
51,18,2,190664
51,31,2,253133
51,31,2,221523
51,31,2,221726
51,18,2,198427
51,31,2,224626
51,31,2,243303
51,18,2,113958
51,18,2,249906
51,31,2,286965
51,18,2,249540
51,18,2,151828
51,31,2,282382
51,31,2,290236
51,18,2,191104
51,31,2,220462
54,33,2,235457
54,33,2,244271
54,19,2,262776
54,19,2,308279
54,33,2,360577
54,19,2,315114
54,19,2,316407
54,19,2,267643
54,33,2,199091
54,33,2,305919
54,19,2,265537
54,19,2,266428
54,19,2,269000
54,19,2,188970
54,33,2,223621
54,33,2,220957
54,33,2,218142
54,33,2,235536
54,33,2,234444
54,33,2,237867
57,35,2,244678
57,35,2,325521
57,35,2,324013
57,20,2,276827
57,20,2,276979
57,35,2,325096
57,20,2,282930
57,35,2,278794
57,35,2,276233
57,35,2,280278
57,35,2,280619
57,35,2,309309
57,35,2,252635
57,35,2,248438
57,20,2,242769
57,35,2,286863
57,35,2,269001
57,35,2,325755
57,20,2,274782
57,35,2,209576
60,37,2,303030
60,37,2,304197
60,21,2,270863
60,37,2,302939
60,37,2,260214
60,21,2,230826
60,37,2,261026
60,21,2,223825
60,37,2,262888
60,21,2,130463
60,37,2,303467
60,37,2,256822
60,21,2,230925
60,37,2,256886
60,37,2,275692
60,37,2,296864
60,21,2,249443
60,37,2,293377
60,37,2,315893
60,37,2,298081
63,22,2,266162
63,39,2,319177
63,22,2,264144
63,22,2,151069
63,22,2,262588
63,39,2,360694
63,39,2,379665
63,39,2,396916
63,39,2,355526
63,39,2,360449
63,22,2,138407
63,39,2,275162
63,39,2,312880
63,22,2,269030
63,39,2,314332
63,39,2,279216
63,39,2,277034
63,22,2,245173
63,22,2,233980
63,39,2,273982
66,23,2,251349
66,41,2,356082
66,23,2,162683
66,41,2,333723
66,41,2,328639
66,41,2,248786
66,41,2,386533
66,41,2,375822
66,23,2,243781
66,41,2,292485
66,41,2,292110
66,41,2,286212
66,41,2,284384
66,23,2,339244
66,41,2,384066
66,23,2,316491
66,41,2,381410
66,41,2,425962
66,23,2,320624
66,23,2,313524
69,43,2,395957
69,43,2,394869
69,24,2,374412
69,43,2,302697
69,43,2,300509
69,24,2,254216
69,43,2,302771
69,24,2,306013
69,43,2,375779
69,43,2,349169
69,24,2,288851
69,24,2,285890
69,43,2,345496
69,43,2,346167
69,43,2,342831
69,43,2,349823
69,24,2,288111
69,43,2,300855
69,43,2,318297
69,43,2,300137
72,25,2,278427
72,45,2,322963
72,25,2,391325
72,45,2,416532
72,45,2,457565
72,25,2,398875
72,25,2,275189
72,25,2,277485
72,45,2,315712
72,25,2,305105
72,45,2,368871
72,25,2,300832
72,25,2,269556
72,45,2,324480
72,25,2,272950
72,45,2,316554
72,45,2,358046
72,45,2,368253
72,45,2,362883
72,25,2,274238
75,47,2,331965
75,47,2,335742
75,26,2,283677
75,26,2,324510
75,26,2,312980
75,47,2,372952
75,47,2,439294
75,26,2,566204
75,47,2,313210
75,47,2,316743
75,47,2,314431
75,47,2,318149
75,47,2,320126
75,47,2,338060
75,26,2,461502
75,47,2,702036
75,47,2,338913
75,47,2,364393
75,26,2,279266
75,47,2,332078
78,27,2,286430
78,27,2,388636
78,49,2,635507
78,49,2,459200
78,27,2,406264
78,49,2,511220
78,49,2,382608
78,49,2,356918
78,49,2,376304
78,49,2,350082
78,27,2,487566
78,49,2,543839
78,49,2,452186
78,49,2,430867
78,49,2,403832
78,27,2,285096
78,27,2,287386
78,49,2,378194
78,27,2,288943
78,49,2,655263
81,51,2,707893
81,51,2,372371
81,28,2,328746
81,51,2,361628
81,51,2,568412
81,28,2,469929
81,51,2,370023
81,51,2,333957
81,51,2,331234
81,28,2,255066
81,28,2,337269
81,51,2,410433
81,51,2,424195
81,51,2,435438
81,28,2,305510
81,51,2,362019
81,28,2,306717
81,28,2,345128
81,51,2,411545
81,51,2,422785
84,53,2,359972
84,29,2,294959
84,29,2,294817
84,53,2,357858
84,29,2,324327
84,53,2,714805
84,29,2,321296
84,53,2,393357
84,53,2,400778
84,53,2,364854
84,53,2,411887
84,53,2,361684
84,53,2,359771
84,29,2,297454
84,53,2,463842
84,53,2,468135
84,29,2,314938
84,53,2,376601
84,53,2,383072
84,53,2,379826
87,30,2,323087
87,55,2,398781
87,30,2,326209
87,55,2,456472
87,55,2,444432
87,55,2,468781
87,55,2,247251
87,30,2,318290
87,55,2,381822
87,30,2,171409
87,55,2,416094
87,55,2,371705
87,30,2,173441
87,55,2,384016
87,55,2,374472
87,30,2,315757
87,55,2,377570
87,30,2,305586
87,55,2,379303
87,30,2,312902
90,57,2,391594
90,57,2,392426
90,31,2,317485
90,57,2,407252
90,57,2,387056
90,57,2,401788
90,31,2,316818
90,31,2,326539
90,31,2,403550
90,57,2,396235
90,57,2,395639
90,31,2,318569
90,57,2,396891
90,57,2,391417
90,57,2,388764
90,31,2,316805
90,57,2,398970
90,57,2,399815
90,31,2,324696
90,31,2,556986
93,59,2,539130
93,32,2,310744
93,59,2,390010
93,59,2,384939
93,32,2,312354
93,59,2,406020
93,59,2,403592
93,59,2,393007
93,32,2,312639
93,32,2,357540
93,32,2,377303
93,59,2,660949
93,59,2,670690
93,59,2,427053
93,59,2,452689
93,59,2,425490
93,59,2,426661
93,59,2,802193
93,59,2,732463
93,59,2,800284
96,33,2,767835
96,61,2,517706
96,61,2,482592
96,61,2,448492
96,61,2,444119
96,61,2,466469
96,61,2,454049
96,61,2,456312
96,33,2,469284
96,61,2,654770
96,61,2,592671
96,61,2,447572
96,33,2,371122
96,33,2,360422
96,61,2,452187
96,33,2,477232
96,61,2,590237
96,61,2,607646
96,61,2,617185
96,61,2,451055
99,34,2,384893
99,63,2,457973
99,34,2,209245
99,63,2,463099
99,63,2,467315
99,63,2,787759
99,34,2,742082
99,34,2,497253
99,34,2,504674
99,63,2,465798
99,34,2,382314
99,63,2,468404
99,63,2,463458
99,34,2,381694
99,63,2,997439
99,63,2,999894
99,63,2,466205
99,63,2,478425
99,63,2,491567
99,63,2,471362
102,65,2,480396
102,65,2,489299
102,65,2,487981
102,65,2,749875
102,65,2,510216
102,35,2,409540
102,65,2,494183
102,35,2,445751
102,35,2,394763
102,65,2,491052
102,65,2,551124
102,35,2,637616
102,65,2,569026
102,65,2,679292
102,65,2,628454
102,65,2,456835
102,65,2,461179
102,35,2,366827
102,65,2,467531
102,65,2,454735
105,67,2,497387
105,36,2,400903
105,67,2,517146
105,67,2,500070
105,36,2,473368
105,67,2,571338
105,67,2,574241
105,67,2,528461
105,67,2,503216
